,funny,posted,item_id,recommend,user_id,sentiment_analysis
0,5 people found this review funny,2015-02-01,72850,True,76561198089393904,0
1,1 person found this review funny,2014-06-20,440,True,76561198089393904,1
2,2 people found this review funny,2015-05-19,219640,True,76561198066046416,2
3,1 person found this review funny,2014-10-17,242700,True,76561198070565424,1
4,1 person found this review funny,2015-06-26,333930,True,76561198102421728,0
5,2 people found this review funny,2014-11-11,332800,True,76561198030568000,1
6,1 person found this review funny,2015-11-11,440,True,76561198097762304,1
7,1 person found this review funny,2015-06-15,251570,True,76561198126640304,2
8,3 people found this review funny,2015-05-03,730,True,76561198141443392,2
9,4 people found this review funny,2015-09-01,287700,True,2768820078,1
10,1 person found this review funny,2015-11-06,304930,False,76561198065593072,0
11,1 person found this review funny,2015-07-22,355180,False,76561198044169760,2
12,1 person found this review funny,2013-12-26,10180,True,76561198028286096,2
13,1 person found this review funny,2015-03-13,304930,True,76561198104393248,1
14,3 people found this review funny,2015-08-07,335670,True,76561198045754880,0
15,1 person found this review funny,2014-08-02,221100,True,76561198145436944,2
16,4 people found this review funny,2015-01-10,302830,False,76561198054465616,0
17,1 person found this review funny,2015-07-13,105600,True,76561198054465616,2
18,1 person found this review funny,2015-02-05,242760,True,76561198074644992,1
19,2 people found this review funny,2015-12-11,730,True,76561198064304800,0
20,1 person found this review funny,2014-04-13,10090,True,76561198073508064,2
21,1 person found this review funny,2015-09-06,248610,True,76561198015968272,0
22,1 person found this review funny,2015-07-18,286570,True,76561198068565600,0
23,1 person found this review funny,2015-01-26,226700,True,76561198075935232,0
24,1 person found this review funny,2015-06-26,440,True,76561198069170992,2
25,2 people found this review funny,2015-01-23,319510,False,76561198039441584,2
26,1 person found this review funny,2014-06-20,20,False,76561198039441584,1
27,97 people found this review funny,2014-05-07,223470,False,76561198039441584,1
28,2 people found this review funny,2014-02-01,221100,True,76561198039874576,0
29,6 people found this review funny,2015-01-22,225640,True,76561198083375456,0
30,1 person found this review funny,2015-02-14,236390,True,76561198110293312,2
31,6 people found this review funny,2014-10-29,730,True,76561198067021472,0
32,1 person found this review funny,2015-04-02,255710,True,76561198030636320,0
33,1 person found this review funny,2015-03-10,440,True,76561198077586768,2
34,1 person found this review funny,2015-06-11,440,True,180577,0
35,1 person found this review funny,2015-04-04,344760,True,76561198057521152,2
36,1 person found this review funny,2015-12-25,252950,True,76561198057389504,2
37,1 person found this review funny,2015-04-09,339610,False,76561198030735072,0
38,1 person found this review funny,2015-01-08,200210,True,76561198093381440,2
39,1 person found this review funny,2015-08-26,221100,True,76561198075981952,2
40,1 person found this review funny,2014-12-16,105600,True,76561198079326384,0
41,1 person found this review funny,2015-03-23,252490,True,8789568,2
42,2 people found this review funny,2015-07-05,221100,False,76561198062276928,0
43,1 person found this review funny,2014-02-18,48700,True,76561198070087712,2
44,1 person found this review funny,2015-01-18,17480,True,76561198072411280,2
45,1 person found this review funny,2015-01-18,332800,True,76561198072411280,0
46,1 person found this review funny,2015-01-18,319510,True,76561198072411280,2
