,genres,title,release_date,price,item_id,developer
0,Action,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro
1,Action,弹炸人2222,2017-12-07,0.99,767400,彼岸领域
2,Action,Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd
3,Free to Play,SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions
4,Free to Play,SNOW - All Access Legend Pass,2018-01-04,29.99,774278,Poppermost Productions
5,Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development
6,Casual,Beach Rules,2018-01-04,3.99,768880,Copperpick Studio
7,Casual,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel
8,Adventure,The first thrust of God,2018-01-03,1.59,773650,Apillo
9,Free to Play,SNOW - Starter Pack,2018-01-03,14.99,774271,Poppermost Productions
10,Adventure,The first thrust of God - All Aircrafts,2018-01-03,1.99,773690,Apillo
11,Free to Play,SNOW - Lifetime Pack,2018-01-03,59.99,774279,Poppermost Productions
12,Action,The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka
13,Racing,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper
14,Racing,RC Plane 3 - F-53B,2017-12-23,2.99,775881,FrozenPepper
15,Action,DinoBlaster,2018-01-03,4.99,653960,Casey Labrack
16,Action,Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd
17,Action,Half-Life,1998-11-08,9.99,70,Valve
18,Action,Fallen Mage,2016-11-25,1.99,752360,dev4play
19,Casual,Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames
20,Adventure,Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff"
21,Strategy,Disciples II: Gallean's Return,2006-07-06,6.99,1640,Strategy First
22,Strategy,Disciples II: Rise of the Elves,2006-07-06,6.99,1630,Strategy First
23,Action,The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.
24,Action,Souland,2017-12-29,7.99,759920,Ultraint
25,Action,TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS
26,Casual,Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games
27,Action,Orbitality,2017-12-29,9.99,753100,Wonderbox Games
28,Action,Atomic Adam: Episode 1,2017-12-30,1.99,764280,Mad Unicorn Games
29,Action,Advent Rising,2005-08-09,9.99,3800,GlyphX Games
30,Indie,DEFCON,2006-09-29,9.99,1520,Introversion Software
31,Action,The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.
32,Indie,Garry's Mod,2006-11-29,9.99,4000,Facepunch Studios
33,Racing,RACE - The WTCC Game,2006-11-24,39.99,4230,SimBin
34,Casual,Gumboy - Crazy Adventures™,2006-12-19,4.99,2520,"CINEMAX, s.r.o."
35,Strategy,Ghost Master®,2003-08-23,4.99,6200,Sick Puppies
36,Strategy,Vegas: Make It Big™,2006-12-21,4.99,6210,Deepred
37,Adventure,Dreamfall: The Longest Journey,2006-04-17,19.99,6300,Funcom
38,Racing,FlatOut 2™,2006-08-01,9.99,2990,Bugbear Entertainment
39,Racing,FlatOut,2005-07-12,7.49,6220,Bugbear Entertainment
40,Action,Lost Planet™: Extreme Condition,2007-06-26,14.99,6510,"CAPCOM Co., Ltd."
41,Strategy,CivCity: Rome,2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games"
42,RPG,Arx Fatalis,2002-11-12,4.99,1700,Arkane Studios
43,Action,The Longest Journey,2000-11-17,9.99,6310,Funcom
44,Strategy,Civilization IV®: Warlords,2006-07-24,4.99,3990,Firaxis Games
45,Strategy,Railroad Tycoon 3,2003-10-23,9.99,7610,PopTop
46,Strategy,Sid Meier's Railroads!,2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
47,Strategy,Railroad Tycoon II Platinum,1998-10-31,4.99,7620,PopTop
48,Strategy,X-COM: Terror From the Deep,1995-04-01,4.99,7650,"MicroProse Software, Inc"
49,Action,Tomb Raider: Anniversary,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
50,Action,Devil May Cry® 3 Special Edition,2006-05-23,19.99,6550,"CAPCOM Co., Ltd."
51,Action,Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,8200,Telltale Games
52,Action,Final DOOM,1996-06-17,4.99,2290,id Software
53,Action,Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,8210,Telltale Games
54,Action,Ultimate Doom,1995-04-30,4.99,2280,id Software
55,Action,Master Levels for Doom II,1995-06-01,14.99,9160,id Software
56,Action,DOOM II,1994-05-05,4.99,2300,id Software
57,Action,Wolfenstein 3D,1994-08-03,4.99,2270,id Software
58,Action,Return to Castle Wolfenstein,2001-11-20,4.99,9010,Gray Matter Studios
59,Action,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,9040,Ritual Entertainment
60,Action,Spear of Destiny,1993-10-10,2.99,9000,id Software
61,Action,BloodRayne,2003-09-09,9.99,3810,Terminal Reality
62,Action,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,9030,Rogue Entertainment
63,Action,QUAKE,2007-05-31,4.99,2310,id Software
64,Strategy,Genesis Rising,2007-03-20,4.99,3230,Metamorf
65,Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,9310,Relic Entertainment
66,Action,BioShock™,2007-08-21,19.99,7670,"2K Boston,2K Australia"
67,Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,4570,Relic Entertainment
